cust_id,trip_date,trip_distance,trip_duration,trip_fare,trip_tips,trip_wait_time,trip_rating,pri_id,cust_name,trip_id,driver_id
1,2025-02-13,2.35,1.62,31.94,7.32,1.0,2.0,80.0,Jason Cunningham,T1,142
1,2025-02-14,0.3,0.22,36.86,6.01,0.0,,80.0,Jason Cunningham,T2,101
1,2025-02-21,8.93,12.54,13.25,1.82,1.0,4.0,80.0,Jason Cunningham,T3,73
1,2025-02-23,2.83,3.58,11.28,6.12,1.0,4.0,80.0,Jason Cunningham,T4,72
1,2025-02-24,3.04,2.37,28.14,2.0,3.0,1.0,80.0,Jason Cunningham,T5,54
1,2025-02-27,4.68,6.98,47.7,0.65,10.0,5.0,80.0,Jason Cunningham,T6,3
1,2025-03-07,1.82,3.05,24.81,6.84,0.0,4.0,80.0,Jason Cunningham,T7,111
1,2025-03-09,0.17,0.12,34.81,2.59,1.0,4.0,80.0,Jason Cunningham,T8,96
1,2025-03-10,3.96,5.78,39.88,9.7,8.0,5.0,80.0,Jason Cunningham,T9,71
1,2025-03-11,4.56,3.21,13.82,0.88,0.0,3.0,80.0,Jason Cunningham,T10,19
1,2025-03-13,2.46,3.19,21.05,8.29,1.0,4.0,80.0,Jason Cunningham,T11,34
1,2025-03-17,0.76,0.58,49.41,0.75,4.0,2.0,80.0,Jason Cunningham,T12,50
1,2025-04-05,0.03,0.02,37.81,7.07,4.0,2.0,80.0,Jason Cunningham,T13,46
1,2025-04-15,2.22,3.6,33.05,8.63,1.0,2.0,80.0,Jason Cunningham,T14,83
1,2025-04-20,1.86,2.25,33.69,7.3,7.0,4.0,80.0,Jason Cunningham,T15,51
1,2025-04-22,0.64,0.53,30.26,7.61,4.0,4.0,80.0,Jason Cunningham,T16,54
1,2025-04-26,3.7,3.99,9.86,0.25,0.0,4.0,80.0,Jason Cunningham,T17,90
1,2025-04-28,1.89,1.87,16.22,9.08,2.0,5.0,80.0,Jason Cunningham,T18,81
1,2025-05-04,1.3,2.25,12.25,2.9,8.0,5.0,80.0,Jason Cunningham,T19,118
1,2025-05-07,5.02,3.66,13.4,8.04,7.0,4.0,80.0,Jason Cunningham,T20,19
1,2025-05-10,8.24,5.9,9.95,3.18,1.0,4.0,80.0,Jason Cunningham,T21,27
2,2025-02-10,8.52,6.26,27.98,0.07,2.0,2.0,38.0,Danielle Cross,T22,147
2,2025-02-21,0.64,0.76,19.54,9.43,2.0,5.0,38.0,Danielle Cross,T23,7
2,2025-02-22,2.26,1.54,16.33,9.62,2.0,3.0,38.0,Danielle Cross,T24,69
2,2025-02-23,1.68,3.13,27.62,6.1,0.0,3.0,38.0,Danielle Cross,T25,94
2,2025-03-01,11.94,16.14,27.03,1.45,13.0,2.0,38.0,Danielle Cross,T26,113
2,2025-03-02,5.58,4.42,37.77,2.38,1.0,4.0,38.0,Danielle Cross,T27,107
2,2025-03-09,5.02,4.85,42.59,0.9,1.0,2.0,38.0,Danielle Cross,T28,120
2,2025-03-10,0.21,0.19,5.75,6.78,2.0,2.0,38.0,Danielle Cross,T29,136
2,2025-03-17,5.18,7.68,22.4,6.91,8.0,2.0,38.0,Danielle Cross,T30,42
2,2025-03-25,2.09,3.41,44.48,9.25,1.0,5.0,38.0,Danielle Cross,T31,13
2,2025-03-26,8.5,8.06,15.88,5.3,0.0,5.0,38.0,Danielle Cross,T32,18
2,2025-03-27,11.53,10.18,20.71,3.39,4.0,5.0,38.0,Danielle Cross,T33,42
2,2025-03-30,10.91,8.52,8.79,6.42,1.0,5.0,38.0,Danielle Cross,T34,51
2,2025-04-04,4.66,9.15,34.86,1.01,0.0,2.0,38.0,Danielle Cross,T35,113
2,2025-04-05,3.98,3.34,15.09,6.52,4.0,2.0,38.0,Danielle Cross,T36,144
2,2025-04-08,1.97,1.58,43.22,6.5,3.0,4.0,38.0,Danielle Cross,T37,101
2,2025-04-26,0.49,0.56,15.98,2.65,11.0,4.0,38.0,Danielle Cross,T38,3
2,2025-05-10,11.13,9.84,27.62,7.95,3.0,4.0,38.0,Danielle Cross,T39,79
3,2025-02-15,1.09,0.89,6.09,2.81,3.0,2.0,60.0,Ashley Small,T40,98
3,2025-02-18,14.11,9.7,21.66,9.15,0.0,,60.0,Ashley Small,T41,150
3,2025-02-20,2.79,1.9,43.39,9.64,1.0,4.0,60.0,Ashley Small,T42,23
3,2025-02-22,9.52,11.65,30.06,1.69,8.0,5.0,60.0,Ashley Small,T43,59
3,2025-02-25,4.22,7.07,49.55,6.15,0.0,4.0,60.0,Ashley Small,T44,113
3,2025-03-06,10.49,8.45,36.61,6.97,1.0,3.0,60.0,Ashley Small,T45,68
3,2025-03-11,8.29,6.33,46.1,8.67,2.0,4.0,60.0,Ashley Small,T46,54
3,2025-03-15,8.0,6.96,40.81,7.02,7.0,3.0,60.0,Ashley Small,T47,57
3,2025-03-17,2.35,3.96,6.62,5.78,2.0,4.0,60.0,Ashley Small,T48,111
3,2025-03-19,1.69,1.55,6.68,0.31,5.0,4.0,60.0,Ashley Small,T49,60
3,2025-03-28,0.68,0.67,14.71,7.7,3.0,2.0,60.0,Ashley Small,T50,73
3,2025-03-30,0.27,0.26,33.68,5.41,4.0,,60.0,Ashley Small,T51,55
3,2025-04-09,3.63,4.41,17.19,7.95,2.0,2.0,60.0,Ashley Small,T52,117
3,2025-04-19,0.13,0.09,36.32,8.36,2.0,2.0,60.0,Ashley Small,T53,63
3,2025-04-21,0.85,1.13,37.16,5.49,3.0,3.0,60.0,Ashley Small,T54,55
3,2025-04-24,15.49,12.51,32.53,5.54,2.0,2.0,60.0,Ashley Small,T55,25
3,2025-04-30,2.2,1.75,10.22,0.14,0.0,1.0,60.0,Ashley Small,T56,26
3,2025-05-01,9.67,8.03,9.4,4.74,2.0,4.0,60.0,Ashley Small,T57,63
3,2025-05-02,0.95,1.02,32.71,3.99,3.0,1.0,60.0,Ashley Small,T58,73
3,2025-05-05,2.35,2.09,43.54,5.03,3.0,2.0,60.0,Ashley Small,T59,79
4,2025-02-14,0.37,0.32,31.36,0.27,8.0,4.0,,Victoria Roberts,T60,65
4,2025-02-17,2.46,2.15,29.55,4.58,9.0,4.0,,Victoria Roberts,T61,69
4,2025-02-18,16.25,11.56,8.12,1.96,0.0,1.0,,Victoria Roberts,T62,9
4,2025-02-19,0.5,0.42,19.35,0.71,6.0,1.0,,Victoria Roberts,T63,26
4,2025-03-02,8.42,10.77,36.35,1.18,3.0,5.0,,Victoria Roberts,T64,28
